Year,area,area_code,item,item_code,Element,Value
2000,RoW,999,Sunflower seed,2557,Processing,3656.51531567025
2001,Guinea-Bissau,175,Cocoa Beans and products,2633,Stock_variation,0
1989,Ethiopia,238,"Butter, Ghee",2740,Seed,0
1986,Costa Rica,48,Sesameseed Cake,2597,Import,0
1981,Bangladesh,16,Barley and products,2513,Stock_variation,-180
2004,Madagascar,129,"Fats, Animals, Raw",2737,Export,0
1984,Sudan,206,Nuts and products,2551,Processing,0
2016,Gabon,74,"Vegetables, Other",2605,Other_uses,0
1991,United States of America,231,Groundnuts,2552,Processing,312533
2002,Puerto Rico,177,"Beverages, Fermented",2657,Import,0
1983,Suriname,207,Straw,2105,Food,0
2011,Peru,170,DDGS,2101,Import,0
1979,South Korea,117,Pelagic Fish,2763,Production,526136.5
1973,Iraq,103,"Oilseed Cakes, Other",2598,Export,0
2000,Senegal,195,"Oilcrops Oil, Other",2586,Seed,0
1963,Samoa,244,Coconuts - Incl Copra,2560,Other_uses,2265.17675890593
2015,Canada,33,"Butter, Ghee",2740,Export,1000
2012,Poland,173,Crustaceans,2765,Production,2
1999,"China, Hong Kong SAR",96,Sisal,2665,Seed,0
2012,Lao,120,Crustaceans,2765,Production,0
2007,Belgium,255,Pineapples and products,2618,Feed,0
2017,Papua New Guinea,168,"Pulses, Other and products",2549,Feed,0
2004,Oman,221,Groundnut Cake,2591,Food,0
1996,Czech Republic,167,Wool (Clean Eq.),2746,Production,320
2004,Poland,173,Molasses,2544,Other_uses,464
1966,"China, mainland",41,Sugar beet,2537,Export,0
2010,Guyana,91,Apples and products,2617,Stock_variation,-11.3333333333334
2007,Afghanistan,2,Bananas,2615,Seed,0
1981,Oman,221,DDGS,2101,Import,0
1981,Mozambique,144,Grapefruit and products,2613,Import,0
1989,Lesotho,122,Sugar (Raw Equivalent),2542,Food,24203.5
1974,Uganda,226,Freshwater Fish,2761,Stock_variation,500
1975,Iceland,99,Tomatoes and products,2601,Import,71.5
1987,Zimbabwe,181,"Fish, Body Oil",2781,Feed,0
1969,Panama,166,Coffee and products,2630,Domestic_supply,3927.5
1988,Ivory Coast,107,Yams,2535,Export,1000
1994,Azerbaijan,52,Straw,2105,Processing,0
1996,Ghana,81,"Lemons, Limes and products",2612,Export,16
1964,Guyana,91,Milk - Excluding Butter,2848,Food,47940.5
1965,Ivory Coast,107,Millet and products,2517,Import,0
2020,Malta,134,Sunflowerseed Oil,2573,Domestic_supply,2000
2010,Ivory Coast,107,Beer,2656,Processing,0
2017,Turkey,223,Beans,2546,Export,5000
2006,Ivory Coast,107,DDGS Barley,2102,Processing,0
2009,Belize,23,Groundnuts,2552,Feed,0
2005,Jamaica,109,Olives (including preserved),2563,Feed,0
2003,Estonia,63,Tomatoes and products,2601,Feed,0
2013,Georgia,73,Beer,2656,Seed,0
1979,Lesotho,122,Poultry Meat,2734,Food,872
1978,Congo,46,"Vegetables, Other",2605,Other_uses,0
2004,Iceland,99,Oats,2516,Feed,63
1975,Guyana,91,Onions,2602,Food,2111
1967,Spain,203,DDGS Barley,2102,Production,97205.08
1978,Belize,23,Sugar (Raw Equivalent),2542,Domestic_supply,9227.5
1994,Netherlands,150,Bovine Meat,2731,Domestic_supply,307797
1963,Lao,120,Groundnut Cake,2591,Other_uses,0
1979,Iceland,99,Soyabean Oil,2571,Import,1043
1980,Iceland,99,Maize and products,2514,Stock_variation,0
2015,Kyrgyzstan,113,Pineapples and products,2618,Domestic_supply,1000
1985,Finland,67,Freshwater Fish,2761,Domestic_supply,82977.5
1993,Nicaragua,157,Cottonseed,2559,Import,24
1981,Saint Lucia,189,"Cereals, Other",2520,Stock_variation,0
2004,Viet Nam,237,Eggs,2744,Domestic_supply,195809.5
2021,Turkmenistan,213,Cottonseed Oil,2575,Import,0
2006,Kyrgyzstan,113,Nuts and products,2551,Stock_variation,17.880000000001
1965,Botswana,20,Cottonseed,2559,Stock_variation,-35
2005,Brunei Darussalam,26,Palmkernel Oil,2576,Other_uses,9.5
1971,Romania,183,Honey,2745,Production,11829
2004,Nigeria,159,"Citrus, Other",2614,Seed,0
1969,Italy,106,Crustaceans,2765,Export,150
1995,Romania,183,Soy hulls,2103,Production,8790.75
2010,Zambia,251,Coconut Oil,2578,Production,0
2020,Burkina Faso,233,"Roots, Other",2534,Other_uses,0
2004,Mauritania,136,Pigmeat,2733,Feed,0
1967,Myanmar,28,Sunflower seed,2557,Import,0
1982,Finland,67,Palm Oil,2577,Stock_variation,0
1993,Antigua and Barbuda,8,Grapes and products (excl wine),2620,Other_uses,0
1968,Congo,46,Other crop residues,2106,Seed,0
1992,RoW,999,"Offals, Edible",2736,Import,989
1974,Zambia,251,Nuts and products,2551,Export,0
2006,Indonesia,101,"Meat, Other",2735,Seed,0
1964,Pakistan,165,Apples and products,2617,Processing,58.2062506223783
1998,Burkina Faso,233,Dates,2619,Domestic_supply,62.5
2018,United Kingdom,229,Aquatic Plants,2775,Feed,0
1969,Ecuador,58,Groundnuts,2552,Export,0
2014,Libya,124,Peas,2547,Import,1000
1980,Bangladesh,16,Potatoes and products,2531,Import,2176
1973,Zambia,251,Freshwater Fish,2761,Processing,0
1966,Saint Vincent and the Grenadines,191,Bovine Meat,2731,Other_uses,0
2000,Sweden,210,Onions,2602,Domestic_supply,63068
2002,Netherlands,150,Coconut Oil,2578,Feed,0
1968,"China, Macao SAR",128,Crustaceans,2765,Stock_variation,0
2004,Malta,134,Aquatic Plants,2775,Stock_variation,0
1977,Senegal,195,Groundnut Cake,2591,Seed,0
2015,Mauritius,137,"Citrus, Other",2614,Feed,0
1988,Mauritania,136,"Offals, Edible",2736,Processing,0
2021,Solomon Islands,25,"Marine Fish, Other",2764,Stock_variation,0
1962,Denmark,54,Pepper,2640,Import,188
1986,Germany,79,Beans,2546,Export,1879.5
2001,Ukraine,230,Peas,2547,Export,117778
1966,Iran,102,Groundnut Oil,2572,Import,57
1969,Panama,166,Milk - Excluding Butter,2848,Seed,0
1963,Sri Lanka,38,Cassava and products,2532,Other_uses,0
1999,Netherlands,150,Jute,2662,Processing,0
2011,Chile,40,Soyabean Cake,2590,Export,0
1981,France,68,Maize Germ Oil,2582,Import,13019.5
1993,Belarus,57,"Oilcrops Oil, Other",2586,Export,208.5
2004,Oman,221,Cephalopods,2766,Other_uses,0
1973,Chile,40,Barley and products,2513,Stock_variation,-7775.5
2009,Sudan,206,Seed cotton,328,Seed,0
1989,New Zealand,156,Straw,2105,Stock_variation,0
1985,Czechoslovakia,51,Bananas,2615,Production,0
1975,Albania,3,Firewood,2107,Import,0
1996,Tanzania,215,Coconuts - Incl Copra,2560,Feed,0
1997,Turkey,223,Sunflowerseed Cake,2592,Production,630216
2007,French Polynesia,70,Soyabean Oil,2571,Feed,0
2014,Singapore,200,"Vegetables, Other",2605,Other_uses,0.0926429783744164
2013,Nigeria,159,Cloves,2642,Seed,0
1985,Philippines,171,Pepper,2640,Import,75.5
2014,Sweden,210,Rape and Mustardseed,2558,Production,322700
1993,Saudi Arabia,194,"Molluscs, Other",2767,Food,193.5
1967,Malta,134,"Spices, Other",2645,Stock_variation,0
2004,Norway,162,Rye and products,2515,Food,32941.8186110305
2005,Italy,106,Fodder mix,2003,Seed,0
2013,Thailand,216,Maize Germ Oil,2582,Food,19.3333333333333
2021,Iraq,103,Millet and products,2517,Processing,0
2015,Cameroon,32,Dates,2619,Import,0
2013,Honduras,95,Sugar (Raw Equivalent),2542,Seed,0
1996,Hungary,97,Tobacco,2671,Import,21591
1992,Chile,40,Bovine Meat,2731,Other_uses,0
1972,Malaysia,131,Soyabean Cake,2590,Import,22284
2004,Greece,84,Apples and products,2617,Other_uses,13345.538924042
1971,Papua New Guinea,168,Eggs,2744,Food,1435
1998,Ecuador,58,Crustaceans,2765,Export,117801
1994,Puerto Rico,177,Sugar cane,2536,Other_uses,90756.6501226456
1964,New Zealand,156,Aquatic Plants,2775,Seed,0
1990,Uganda,226,Freshwater Fish,2761,Export,4080
2016,Madagascar,129,Jute-Like Fibres,2663,Import,0
2021,Tunisia,222,Miscellaneous,2899,Export,46000
1962,Germany,79,Wine,2655,Stock_variation,0
1969,Brazil,21,Poultry Meat,2734,Import,41.5
2007,Ireland,104,"Cereals, Other",2520,Export,2832
1972,"China, mainland",41,Groundnut Oil,2572,Food,250850
1988,Viet Nam,237,Cotton lint,2661,Other_uses,65592
2003,Algeria,4,Tomatoes and products,2601,Import,40223.5
2016,Israel,105,"Vegetables, Other",2605,Other_uses,0
2020,Afghanistan,2,Peas,2547,Export,0
1997,Jamaica,109,Rye and products,2515,Import,1.5
1973,Nigeria,159,Honey,2745,Processing,0
2002,Tajikistan,208,Hides and skins,2748,Feed,0
2013,"China, Hong Kong SAR",96,Cassava and products,2532,Domestic_supply,12000
2006,Thailand,216,Bananas,2615,Domestic_supply,1417062
1982,Djibouti,72,Palm Oil,2577,Food,156.5
2001,Venezuela,236,Honey,2745,Feed,0
2010,India,100,Rape and Mustardseed,2558,Domestic_supply,7038000
1975,Mali,133,Poultry Meat,2734,Other_uses,0
1997,Germany,79,Coffee and products,2630,Seed,0
2016,Austria,11,Copra Cake,2596,Feed,1
2012,Dominican Republic,56,Milk - Excluding Butter,2848,Production,578717.484858996
1974,North Korea,116,Beer,2656,Import,0
2020,Jamaica,109,Maize Germ Oil,2582,Domestic_supply,1000
1977,Papua New Guinea,168,"Alcohol, Non-Food",2659,Domestic_supply,869.063555171336
1998,Morocco,143,Hides and skins,2748,Import,3699
2005,Timor-Leste,176,Poultry Meat,2734,Seed,0
1989,Egypt,59,Rice and products,2807,Food,2397456.37097139
2007,Finland,67,Tea (including mate),2635,Other_uses,0
1963,Sierra Leone,197,"Fruits, Other",2625,Other_uses,0
2007,Brazil,21,"Beverages, Fermented",2657,Export,3786.5
2015,Australia,10,Silk,2747,Feed,0
1976,Nepal,149,"Roots, Other",2534,Domestic_supply,66000
2010,Italy,106,"Butter, Ghee",2740,Production,107792
1995,Mongolia,141,Freshwater Fish,2761,Export,45
2011,Bahrain,13,Nuts and products,2551,Domestic_supply,349.72
1994,New Zealand,156,"Alcohol, Non-Food",2659,Seed,0
1990,Malta,134,Olive Oil,2580,Stock_variation,0
2015,Madagascar,129,"Cereals, Other",2520,Other_uses,0
2019,Vanuatu,155,Maize and products,2514,Import,0
2020,Cameroon,32,Other crop residues,2106,Export,0
2009,Uganda,226,Molasses,2544,Feed,114518
1998,Angola,7,Sweet potatoes,2533,Feed,0
2021,Cuba,49,Soyabean Cake,2590,Production,53410.9322848552
2014,Switzerland,211,Sweet potatoes,2533,Import,2000
2016,Congo,46,Plantains,2616,Seed,0
2015,Somalia,201,Potatoes and products,2531,Other_uses,0
1981,Liberia,123,Sweet potatoes,2533,Food,15750
1977,Iceland,99,"Meat, Other",2735,Seed,0
2016,Panama,166,Palm Oil,2577,Other_uses,0
2007,Estonia,63,Eggs,2744,Feed,0
2007,Mexico,138,Pimento,2641,Food,74946.5
2008,Finland,67,Straw,2105,Food,0
2018,Chad,39,Cotton lint,2661,Feed,0
1974,India,100,"Pulses, Other and products",2549,Other_uses,0
2019,Switzerland,211,"Vegetables, Other",2605,Export,9000
2020,Bahamas,12,Tobacco,2671,Production,0
2000,Paraguay,169,Pepper,2640,Seed,0
2008,Dominican Republic,56,Straw,2105,Feed,824471.730265251
2001,South Africa,202,Tobacco,2671,Processing,0
1999,North Korea,116,Rye and products,2515,Food,41327.7108433735
2007,Yemen,249,Barley and products,2513,Domestic_supply,34786.5
2004,Cambodia,115,Onions,2602,Domestic_supply,24
2021,Bahamas,12,Pigmeat,2733,Feed,0
2003,Denmark,54,Sunflowerseed Oil,2573,Processing,2
1998,Zambia,251,Jute,2662,Production,0
2011,Afghanistan,2,Potatoes and products,2531,Export,8969
1979,Cabo Verde,35,Rice and products,2807,Processing,0
1963,Morocco,143,"Roots, Other",2534,Seed,0
2010,Cambodia,115,Rice and products,2807,Feed,418544.915509031
2004,Albania,3,Demersal Fish,2762,Stock_variation,0
1982,Saint Lucia,189,Nuts and products,2551,Processing,0
2009,Venezuela,236,Wheat and products,2511,Seed,4.1100591521271
1962,South Africa,202,"Offals, Edible",2736,Domestic_supply,112805
1983,Denmark,54,Palm Oil,2577,Export,12871.5
2020,Honduras,95,Onions,2602,Import,12000
1961,Bangladesh,16,"Offals, Edible",2736,Processing,0
1974,Fiji,66,Soyabean Oil,2571,Import,877
2009,Guatemala,89,Beer,2656,Seed,0
1997,"China, Hong Kong SAR",96,Cloves,2642,Export,1865
1977,Libya,124,Dates,2619,Domestic_supply,99623
1990,Nepal,149,"Sweeteners, Other",2543,Export,2.5
1971,Burkina Faso,233,Bananas,2615,Production,0
1970,French Polynesia,70,Groundnut Oil,2572,Other_uses,507.508946322068
1977,Indonesia,101,Onions,2602,Domestic_supply,172848
2003,Canada,33,Pigmeat,2733,Production,1880740
1980,Nigeria,159,Maize and products,2514,Other_uses,0
1980,Tanzania,215,Hides and skins,2748,Domestic_supply,27862
2021,Bangladesh,16,Beans,2546,Processing,0
1988,Barbados,14,Mutton & Goat Meat,2732,Food,2674.73447537473
2002,Tajikistan,208,"Pulses, Other and products",2549,Processing,0
2001,Georgia,73,Pelagic Fish,2763,Import,1983
1998,Kiribati,83,Coffee and products,2630,Domestic_supply,8.5
1971,Switzerland,211,Beer,2656,Other_uses,0
1974,Yemen,249,Cephalopods,2766,Domestic_supply,753
2003,Vanuatu,155,Sugar (Raw Equivalent),2542,Import,3004.5
2019,Azerbaijan,52,"Sweeteners, Other",2543,Other_uses,0
1966,Ireland,104,"Vegetables, Other",2605,Food,90699.6130653266
1974,Guinea,90,Other crop residues,2106,Stock_variation,0
1998,Belgium-Luxembourg,15,Rye and products,2515,Production,7130
1987,Oman,221,Milk - Excluding Butter,2848,Production,68172
1998,Malaysia,131,Sunflower seed,2557,Food,0
2016,Kenya,114,Sesame seed,2561,Feed,0
1989,Japan,110,"Molluscs, Other",2767,Processing,0
1990,"China, Hong Kong SAR",96,Cottonseed Oil,2575,Export,13.5
1992,Austria,11,Brans,2111,Export,0
2008,Gabon,74,Bananas,2615,Stock_variation,174.940000000001
2020,"China, Hong Kong SAR",96,Coffee and products,2630,Processing,0
1977,Japan,110,Soyabean Oil,2571,Feed,0
1970,Nigeria,159,Yams,2535,Import,0
1992,Cabo Verde,35,"Molluscs, Other",2767,Feed,0
2000,Botswana,20,Seed cotton,328,Export,0
1989,DR Congo,250,Pimento,2641,Other_uses,0
1976,Madagascar,129,Molasses,2544,Processing,15000
2015,Estonia,63,Sunflower seed,2557,Production,0
1982,Viet Nam,237,Sesame seed,2561,Processing,1107.64910536779
1971,Philippines,171,"Fruits, Other",2625,Processing,1193.73001379173
2006,Turkmenistan,213,Palmkernel Oil,2576,Processing,0
1987,Czechoslovakia,51,Soy hulls,2103,Import,0
2021,Bulgaria,27,Coconut Oil,2578,Production,0
2001,South Korea,117,Cottonseed Oil,2575,Stock_variation,3.6379788070917097e-12
1992,Lao,120,Cassava and products,2532,Import,0
1974,Libya,124,Tobacco,2671,Feed,0
1995,Serbia and Montenegro,186,"Meat, Other",2735,Food,1761
1995,Congo,46,Maize Germ Oil,2582,Export,0
2001,Ghana,81,Bovine Meat,2731,Other_uses,0
2019,French Polynesia,70,Molasses,2544,Stock_variation,0
2019,"China, mainland",41,Aquatic Plants,2775,Domestic_supply,20601110
1986,Japan,110,"Butter, Ghee",2740,Other_uses,0
2008,United Arab Emirates,225,Rubber,2672,Export,352
1966,Mauritania,136,Hides and skins,2748,Food,0
2017,Thailand,216,Rape and Mustardseed,2558,Feed,0
2012,Canada,33,Maize Germ Oil,2582,Stock_variation,3100
2010,Austria,11,"Meat, Other",2735,Export,10000
2017,Uruguay,234,"Butter, Ghee",2740,Domestic_supply,5000
2010,Argentina,9,Rape and Mustard Oil,2574,Import,2000
1991,Mali,133,Sugar cane,2536,Seed,0
1970,USSR,228,Hops,677,Export,0
1997,Belgium-Luxembourg,15,Straw,2105,Other_uses,0
1980,Panama,166,Mutton & Goat Meat,2732,Food,16
1965,Nigeria,159,Molasses,2544,Food,0
2008,Zambia,251,DDGS,2101,Production,9064.35
1961,Sudan,206,Hides and skins,2748,Other_uses,17297
1988,Yugoslav SFR,248,Rape and Mustardseed,2558,Processing,72573.5761300638
1968,Tunisia,222,Onions,2602,Export,0
1971,Argentina,9,DDGS Barley,2102,Seed,0
1977,Thailand,216,Soyabeans,2555,Processing,68005.7552584681
2002,Belarus,57,Milk - Excluding Butter,2848,Import,43765
2021,Switzerland,211,Hops,677,Processing,0
2006,Dominica,55,Demersal Fish,2762,Stock_variation,0
1996,El Salvador,60,"Cereals, Other",2520,Processing,0
1991,Saint Kitts and Nevis,188,"Spices, Other",2645,Import,2.5
1969,Fiji,66,Pepper,2640,Production,60
2016,Malaysia,131,"Fruits, Other",2625,Processing,0
2004,Greece,84,"Vegetables, Other",2605,Export,190577.597275676
2020,Namibia,147,Firewood,2107,Other_uses,27931.491652968
2021,North Korea,116,Hops,677,Seed,0
1996,Central African Republic,37,Cottonseed Cake,2594,Domestic_supply,4977
2010,Ivory Coast,107,Rye and products,2515,Domestic_supply,2
2007,Luxembourg,256,Tomatoes and products,2601,Stock_variation,42.5
1961,Sweden,210,Molasses,2544,Food,0
2012,Angola,7,Cottonseed,2559,Seed,58.8235294117647
1986,Jordan,112,Maize and products,2514,Processing,0
1970,"China, mainland",41,Groundnuts,2552,Stock_variation,0
1962,Colombia,44,"Fruits, Other",2625,Feed,0
1969,Portugal,174,Soyabean Cake,2590,Other_uses,0
1970,Cameroon,32,Olive Oil,2580,Seed,0
1962,Paraguay,169,Olive Oil,2580,Import,33
1998,United Arab Emirates,225,Hides and skins,2748,Processing,0
1974,Burundi,29,Peas,2547,Other_uses,0
2018,Egypt,59,Tomatoes and products,2601,Feed,0
2020,Estonia,63,Other crop residues,2106,Processing,0
2007,Iraq,103,Sunflower seed,2557,Export,0
2013,Russian Federation,185,"Beverages, Fermented",2657,Food,58028.6666666667
2015,Kyrgyzstan,113,Sunflowerseed Oil,2573,Import,49000
1972,Trinidad and Tobago,220,Palm Oil,2577,Production,0
1984,Belgium-Luxembourg,15,Cottonseed Cake,2594,Processing,0
2014,Armenia,1,Sugar beet,2537,Domestic_supply,57000
1969,Gambia,75,Wine,2655,Stock_variation,0
2002,Georgia,73,Groundnut Cake,2591,Stock_variation,0
2006,Netherlands,150,Palmkernel Cake,2595,Feed,782359
1998,"China, Macao SAR",128,Maize and products,2514,Domestic_supply,63.5
1966,Congo,46,"Roots, Other",2534,Export,0
2010,Rwanda,184,Rape and Mustardseed,2558,Feed,0
1995,Vanuatu,155,Hides and skins,2748,Food,0
1990,Chile,40,Apples and products,2617,Stock_variation,-0.5
2012,Cuba,49,Tomatoes and products,2601,Stock_variation,225.333333333372
1991,Tunisia,222,DDGS Barley,2102,Stock_variation,0
2008,Mauritius,137,Sesame seed,2561,Stock_variation,0
2020,Ecuador,58,DDGS,2101,Production,21280
1966,Argentina,9,Coconuts - Incl Copra,2560,Stock_variation,0
1996,Austria,11,Wool (Clean Eq.),2746,Food,0
1978,RoW,999,Coconut Oil,2578,Domestic_supply,4387.5
1976,Ireland,104,Grapes and products (excl wine),2620,Food,31770.5
1962,"China, mainland",41,Coffee and products,2630,Import,100
1979,Honduras,95,Palmkernel Cake,2595,Import,0
2011,Burkina Faso,233,Bovine Meat,2731,Seed,0
2008,Bosnia and Herzegovina,80,Eggs,2744,Import,756
1976,Cyprus,50,Olive Oil,2580,Feed,0
2014,Venezuela,236,"Meat, Other",2735,Import,0
1977,Spain,203,Cocoa Beans and products,2633,Seed,0
1972,Singapore,200,"Alcohol, Non-Food",2659,Export,0.650641315717032
2017,Thailand,216,Kapok fruit,310,Production,86916.97
2012,Philippines,171,Soyabean Oil,2571,Stock_variation,29
2013,Georgia,73,Sesame seed,2561,Stock_variation,0
1970,Mali,133,Tomatoes and products,2601,Export,0
1988,Malaysia,131,Cassava and products,2532,Import,75874
2002,Brazil,21,Sorghum and products,2518,Other_uses,0
2010,Saint Lucia,189,"Sweeteners, Other",2543,Seed,0
1972,Senegal,195,Rubber,2672,Other_uses,168
2001,Costa Rica,48,Cottonseed Oil,2575,Domestic_supply,66
1970,Greece,84,Eggs,2744,Domestic_supply,96785.5
1965,Indonesia,101,Bananas,2615,Stock_variation,2000.5
1991,India,100,Grapes and products (excl wine),2620,Other_uses,0
1963,Hungary,97,Sugar beet,2537,Domestic_supply,3437977
2017,Colombia,44,Milk - Excluding Butter,2848,Domestic_supply,6568626.25597101
2017,Ukraine,230,Rape and Mustard Cake,2593,Seed,0
2017,Moldova,146,Wool (Clean Eq.),2746,Import,680.84
2017,Zimbabwe,181,Cotton lint,2661,Food,0
1980,Ethiopia,238,Freshwater Fish,2761,Seed,0
1999,Estonia,63,Rubber,2672,Other_uses,62
1990,Saudi Arabia,194,Sugar cane,2536,Production,0
1972,New Zealand,156,Sweet potatoes,2533,Stock_variation,-183
2000,Honduras,95,Sorghum and products,2518,Seed,1099.87993421053
1985,Hungary,97,"Butter, Ghee",2740,Seed,0
1965,Trinidad and Tobago,220,Sweet potatoes,2533,Food,3881
1975,Jordan,112,Pimento,2641,Production,0
2019,Afghanistan,2,Sunflowerseed Oil,2573,Seed,0
1974,Jordan,112,Maize and products,2514,Stock_variation,199.5
2013,Belize,23,Yams,2535,Processing,0
2018,Nicaragua,157,Sugar cane,2536,Other_uses,550490.566037736
1982,Ethiopia,238,Poultry Meat,2734,Processing,0
1969,Netherlands,150,Barley and products,2513,Food,6159.84702389048
1967,Germany,79,Fodder vegetables and roots,2002,Export,0
1991,Chad,39,Cassava and products,2532,Stock_variation,0
1990,Canada,33,"Butter, Ghee",2740,Domestic_supply,95938.5
1974,Tanzania,215,"Oilcrops, Other",2570,Stock_variation,4174
1979,Switzerland,211,"Marine Fish, Other",2764,Stock_variation,500
2010,Kazakhstan,108,"Fats, Animals, Raw",2737,Export,2000
2003,Japan,110,Firewood,2107,Stock_variation,0
1977,Uruguay,234,Sorghum and products,2518,Export,22840.5
2011,Moldova,146,Eggs,2744,Domestic_supply,39153.6666666667
2016,New Zealand,156,Rape and Mustardseed,2558,Export,1000
1997,Guatemala,89,Sunflower seed,2557,Feed,0
1999,Kenya,114,Plantains,2616,Feed,0
1999,Italy,106,Cloves,2642,Export,2.5
1985,Romania,183,Oats,2516,Other_uses,0
1999,Lao,120,Firewood,2107,Stock_variation,0
1989,Central African Republic,37,Cassava and products,2532,Other_uses,0
1997,Malaysia,131,Molasses,2544,Food,0
1988,Botswana,20,Other crop residues,2106,Processing,0
1991,Singapore,200,Copra Cake,2596,Production,21.1124491828105
1994,Ecuador,58,Cottonseed Oil,2575,Food,1013
1982,Dominica,55,Oats,2516,Processing,0
1997,Benin,53,"Pulses, Other and products",2549,Feed,0
1995,Hungary,97,"Oranges, Mandarines",2611,Processing,0
1997,Zimbabwe,181,Sweet potatoes,2533,Other_uses,0
1983,Cambodia,115,Pineapples and products,2618,Import,0
2006,Argentina,9,Coffee and products,2630,Stock_variation,-34
1961,Guyana,91,Coconuts,248,Other_uses,0
1982,Belgium-Luxembourg,15,Rape and Mustard Cake,2593,Import,33465
1971,Portugal,174,Sunflower seed,2557,Export,0
1997,Tunisia,222,Beans,2546,Export,0
1974,Netherlands,150,Barley and products,2513,Other_uses,0
1971,Ecuador,58,Bananas,2615,Domestic_supply,1383946
2012,Belize,23,Pelagic Fish,2763,Other_uses,140013.986013986
1964,Panama,166,Barley and products,2513,Other_uses,0
1989,Netherlands,150,Pepper,2640,Feed,0
2014,Guinea-Bissau,175,"Pulses, Other and products",2549,Processing,0
2013,Cuba,49,Coffee and products,2630,Stock_variation,-1060
1999,Niger,158,"Butter, Ghee",2740,Import,13.5
2013,Latvia,119,Cassava and products,2532,Feed,0
1968,Bolivia,19,Soy hulls,2103,Food,0
1961,Grenada,86,Nuts and products,2551,Food,8
1995,United Kingdom,229,Olive Oil,2580,Domestic_supply,15221
1968,Mongolia,141,Firewood,2107,Export,0
2018,Suriname,207,Eggs,2744,Production,3671.35
1991,France,68,Olive Oil,2580,Processing,0
1997,Netherlands,150,"Fruits, Other",2625,Processing,5357.99714922199
1966,France,68,Maize Germ Oil,2582,Production,12835
1989,Thailand,216,Wheat and products,2511,Stock_variation,177
2013,Samoa,244,Bovine Meat,2731,Import,1003.33333333333
1964,Sri Lanka,38,"Hard Fibres, Other",2667,Export,100893
2016,Egypt,59,Dates,2619,Other_uses,0
1996,Cameroon,32,Palmkernel Cake,2595,Processing,0
1992,Austria,11,"Pulses, Other and products",2549,Stock_variation,-85
2007,Saint Lucia,189,Maize Germ Oil,2582,Export,0
1978,Belgium-Luxembourg,15,Firewood,2107,Domestic_supply,113969.826981376
1983,Germany,79,Sisal,2665,Processing,0
1981,Poland,173,Rubber,2672,Stock_variation,0
2016,Finland,67,Eggs,2744,Feed,0
2018,Czech Republic,167,Plantains,2616,Export,0
2006,"China, Hong Kong SAR",96,Soyabeans,2555,Stock_variation,0
1967,Czechoslovakia,51,"Lemons, Limes and products",2612,Other_uses,0
1979,Poland,173,Sorghum and products,2518,Import,188247
2010,United States of America,231,Tobacco,2671,Stock_variation,0
2013,Oman,221,Rice and products,2807,Feed,912.507272338466
2017,Botswana,20,"Meat, Other",2735,Feed,0
2002,"China, mainland",41,Jute-Like Fibres,2663,Food,0
2005,Moldova,146,Beer,2656,Stock_variation,0
1974,Portugal,174,Molasses,2544,Other_uses,0
2017,Croatia,98,Sorghum and products,2518,Domestic_supply,114
1962,Norway,162,Cephalopods,2766,Production,6000
2000,Bangladesh,16,Rape and Mustard Oil,2574,Production,161910.5
2008,United Kingdom,229,"Molluscs, Other",2767,Production,104992
1965,Saint Vincent and the Grenadines,191,Maize and products,2514,Stock_variation,200
2021,Mongolia,141,Fodder cereal and grasses,2000,Import,0
2005,North Korea,116,"Oilseed Cakes, Other",2598,Feed,86325
2006,Chad,39,Sweet potatoes,2533,Export,0
1969,USSR,228,Bananas,2615,Food,15800
1982,Brazil,21,"Beverages, Fermented",2657,Processing,0
1995,Dominican Republic,56,Demersal Fish,2762,Food,31183
2002,Venezuela,236,Maize Germ Oil,2582,Other_uses,0
1969,Chile,40,Potatoes and products,2531,Stock_variation,-290
2004,Serbia and Montenegro,186,Olives (including preserved),2563,Processing,875
1978,Denmark,54,"Oilseed Cakes, Other",2598,Import,27091
2004,Bosnia and Herzegovina,80,Nuts and products,2551,Other_uses,0
1986,Rwanda,184,Hides and skins,2748,Processing,0
1998,Mozambique,144,Groundnuts,2552,Import,209
1995,Lithuania,126,Fodder mix,2003,Other_uses,0
1992,Zambia,251,Barley and products,2513,Other_uses,0
2009,Austria,11,Milk - Excluding Butter,2848,Production,3256926
1982,Ecuador,58,"Beverages, Fermented",2657,Feed,0
1991,Niger,158,"Meat, Other",2735,Food,23148
1970,Tanzania,215,Coffee and products,2630,Import,52
1983,Togo,217,Sugar (Raw Equivalent),2542,Processing,0
2001,Belarus,57,Sweet potatoes,2533,Import,0.5
1965,Malaysia,131,"Oranges, Mandarines",2611,Domestic_supply,22232
1990,Burkina Faso,233,Eggs,2744,Food,27350
1990,Mauritius,137,"Oilseed Cakes, Other",2598,Domestic_supply,608
2011,Namibia,147,Hides and skins,2748,Domestic_supply,5859
1999,Hungary,97,Rape and Mustardseed,2558,Feed,1804.14864963739
1978,Antigua and Barbuda,8,Crustaceans,2765,Processing,0
1975,Saint Lucia,189,"Vegetables, Other",2605,Other_uses,0
1974,Pakistan,165,Nuts and products,2551,Production,43100
1972,Thailand,216,Molasses,2544,Stock_variation,-54591
2015,Ethiopia,238,Bananas,2615,Seed,0
2004,Greece,84,"Oilcrops Oil, Other",2586,Production,3901.5
2016,Sri Lanka,38,Palmkernel Cake,2595,Export,63
